Date,Dividend
1960-01-01,0.00845
1961-01-01,0.0089
1962-01-01,0.009375
1963-01-01,0.0089
1964-01-01,0.00875
1965-01-01,0.009625
1966-01-01,0.01
1967-01-01,0.010625
1968-01-01,0.01105
1969-01-01,0.0122
1970-01-01,0.0125
1971-01-01,0.0125
1972-01-01,0.0122
1973-01-01,0.01645
1974-01-01,0.01875
1975-01-01,0.018025
1976-01-01,0.0172
1977-01-01,0.0175
1978-01-01,0.015625
1979-01-01,0.020775
1980-01-01,0.02625
1981-01-01,0.02225
1982-01-01,0.02135
1983-01-01,0.016875
1984-01-01,0.0175
1985-01-01,0.018925
1986-01-01,0.021625
1987-01-01,0.024575
1988-01-01,0.023275
1989-01-01,0.0299
1990-01-01,0.0339
1991-01-01,0.026425
1992-01-01,0.020475
1993-01-01,0.01415
1994-01-01,0.0134
1995-01-01,0.014
1996-01-01,0.01135
1997-01-01,0.013625
1998-01-01,0.015825
1999-01-01,0.011775
2000-01-01,0.013675
2001-01-01,0.0116
2002-01-01,0.0092
2003-01-01,0.009325
2004-01-01,0.0114
2005-01-01,0.0123
2006-01-01,0.0117
2007-01-01,0.013875
2008-01-01,0.012725
2009-01-01,0.005525
2010-01-01,0.007
2011-01-01,0.006875
2012-01-01,0.007
2013-01-01,0.004425
2014-01-01,0.0037
2015-01-01,0.0035
2016-01-01,0.003075
2017-01-01,0.0025
2020-01-01,0.0009

