Date,Dividend
2017-01-01,1.00
2016-01-01,1.23
2015-01-01,1.40
2014-01-01,1.48
2013-01-01,1.77
2012-01-01,2.80
2011-01-01,2.75
2010-01-01,2.80
2009-01-01,2.21
2008-01-01,5.09
2007-01-01,5.55
2006-01-01,4.68
2005-01-01,4.92
2004-01-01,4.56
2003-01-01,3.73
2002-01-01,3.68
2001-01-01,4.64
2000-01-01,5.47
1999-01-01,4.71
1998-01-01,6.33
1997-01-01,5.45
1996-01-01,4.54
1995-01-01,5.60
1994-01-01,5.36
1993-01-01,5.66
1992-01-01,8.19
1991-01-01,10.57
1990-01-01,13.56
1989-01-01,11.96
1988-01-01,9.31
1987-01-01,9.83
1986-01-01,8.65
1985-01-01,7.57
1984-01-01,7.00
1983-01-01,6.75
1982-01-01,8.54
1981-01-01,8.90
1980-01-01,10.50
1979-01-01,8.31
1978-01-01,6.25
1977-01-01,7.00
1976-01-01,6.88
1975-01-01,7.21
1974-01-01,7.50
1973-01-01,6.58
1972-01-01,4.88
1971-01-01,5.00
1970-01-01,5.00
1969-01-01,4.88
1968-01-01,4.42
1967-01-01,4.25
1966-01-01,4.00
1965-01-01,3.85
1964-01-01,3.50
1963-01-01,3.56
1962-01-01,3.75
1961-01-01,3.56
1960-01-01,3.38
